movieId,rating,title,genres
1,3.9330249396621078,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,3.2185527667694114,Jumanji (1995),Adventure|Children|Fantasy
3,3.132103420414759,Grumpier Old Men (1995),Comedy|Romance
4,2.880893300248139,Waiting to Exhale (1995),Comedy|Drama|Romance
5,3.0547756674924305,Father of the Bride Part II (1995),Comedy
6,3.830378500070353,Heat (1995),Action|Crime|Thriller
7,3.3520551442430433,Sabrina (1995),Comedy|Romance
8,3.099290780141844,Tom and Huck (1995),Adventure|Children
9,3.001743679163034,Sudden Death (1995),Action
10,3.4418113293741435,GoldenEye (1995),Action|Adventure|Thriller
11,3.6516075388026605,"American President, The (1995)",Comedy|Drama|Romance
12,2.6480322003577816,Dracula: Dead and Loving It (1995),Comedy|Horror
13,3.275581395348837,Balto (1995),Adventure|Animation|Children
14,3.4120603015075375,Nixon (1995),Drama
15,2.709165687426557,Cutthroat Island (1995),Action|Adventure|Romance
16,3.7792157620243385,Casino (1995),Crime|Drama
17,3.9774606778012,Sense and Sensibility (1995),Drama|Romance
18,3.3642668428005282,Four Rooms (1995),Comedy
19,2.619374401532078,Ace Ventura: When Nature Calls (1995),Comedy
20,2.87940935192781,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,3.5829953852608027,Get Shorty (1995),Comedy|Crime|Thriller
22,3.2994254815816153,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,3.1587620578778135,Assassins (1995),Action|Crime|Thriller
24,3.217840573597638,Powder (1995),Drama|Sci-Fi
25,3.7008426966292136,Leaving Las Vegas (1995),Drama|Romance
26,3.6302021403091556,Othello (1995),Drama
27,3.4149590163934427,Now and Then (1995),Children|Drama
28,4.113127001067236,Persuasion (1995),Drama|Romance
29,3.937946074544013,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,3.586387434554974,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,3.2515381831342745,Dangerous Minds (1995),Drama
32,3.8903926234384296,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,2.875,Wings of Courage (1995),Adventure|Romance|IMAX
34,3.643202385849445,Babe (1995),Children|Drama
35,3.516891891891892,Carrington (1995),Drama|Romance
36,3.9290797347565904,Dead Man Walking (1995),Crime|Drama
37,3.05,Across the Sea of Time (1995),Documentary|IMAX
38,2.888888888888889,It Takes Two (1995),Children|Comedy
39,3.399517276422764,Clueless (1995),Comedy|Romance
40,3.5915750915750917,"Cry, the Beloved Country (1995)",Drama
41,3.8074179743223966,Richard III (1995),Drama|War
42,3.0508819538670284,Dead Presidents (1995),Action|Crime|Drama
43,3.484687083888149,Restoration (1995),Drama
44,2.639764996907854,Mortal Kombat (1995),Action|Adventure|Fantasy
45,3.3894284646992903,To Die For (1995),Comedy|Drama|Thriller
46,3.2906593406593405,How to Make an American Quilt (1995),Drama|Romance
47,4.05755980490826,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,2.959331973482917,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,3.73972602739726,When Night Is Falling (1995),Drama|Romance
50,4.333510789324247,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,2.7142857142857144,Guardian Angel (1994),Action|Drama|Thriller
52,3.5400071761750986,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,3.71875,Lamerica (1994),Adventure|Drama
54,2.765625,"Big Green, The (1995)",Children|Comedy
55,3.2338129496402876,Georgia (1995),Drama
56,1.673913043478261,Kids of the Round Table (1995),Adventure|Children|Fantasy
57,3.30416068866571,Home for the Holidays (1995),Drama
58,3.9899767576990124,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,3.5901639344262297,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
60,3.133068783068783,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,3.2435508345978756,Eye for an Eye (1996),Drama|Thriller
62,3.732040851653107,Mr. Holland's Opus (1995),Drama
63,3.0911047345767577,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,2.738013698630137,Two if by Sea (1996),Comedy|Romance
65,2.3562367864693448,Bio-Dome (1996),Comedy
66,2.137762237762238,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
67,3.0697674418604652,Two Bits (1995),Drama
68,3.504201680672269,French Twist (Gazon maudit) (1995),Comedy|Romance
69,3.556916996047431,Friday (1995),Comedy
70,3.2870174510840826,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,2.3693333333333335,Fair Game (1995),Action
72,3.5260115606936417,Kicking and Screaming (1995),Comedy|Drama
73,3.816723940435281,"Misérables, Les (1995)",Drama|War
74,3.282907662082515,Bed of Roses (1996),Drama|Romance
75,2.4940828402366866,Big Bully (1996),Comedy|Drama
76,3.0498489425981874,Screamers (1995),Action|Sci-Fi|Thriller
77,3.5357142857142856,Nico Icon (1995),Documentary
